Liga,Klub,Link_Bezposredni
Bundesliga (NIE),FC Augsburg,https://drive.google.com/uc?export=view&id=1aJTtKOoSBf4ddkswJqpxd2u2CkcInU2S
Bundesliga (NIE),FC Augsburg,https://drive.google.com/uc?export=view&id=1cvQKev4zpFIbtRY_9FHQhad4euDW4auj
Bundesliga (NIE),FC Augsburg,https://drive.google.com/uc?export=view&id=11I-swb6UJnoDET1bbPVwnkYLfcdS4xe7
Bundesliga (NIE),FC Augsburg,https://drive.google.com/uc?export=view&id=146CW3ZgYDwI6GNqXjLbYbt9-QPSZt12R
Bundesliga (NIE),FC Augsburg,https://drive.google.com/uc?export=view&id=1Zdio7Ix1JWqUbLfMea13vpXKuWSe1eyk
Bundesliga (NIE),FC Augsburg,https://drive.google.com/uc?export=view&id=170q3_LyXqSVq0O0kuAftIQg2TaH0w7_P
Bundesliga (NIE),FC Augsburg,https://drive.google.com/uc?export=view&id=1E2u8prHLaCQmPpaK-d7lMS17pgTW7ZJc
Bundesliga (NIE),FC Augsburg,https://drive.google.com/uc?export=view&id=1bLumEd8mA2X7qBEFV5Nu8FQkmBfiAFmP
Bundesliga (NIE),Freiburg,https://drive.google.com/uc?export=view&id=12a-fyutD8FqWnc-xz3ZqS6gZb-mMR_ks
Bundesliga (NIE),Freiburg,https://drive.google.com/uc?export=view&id=1YStOlJ1OVHj7P2a_c_Bdc5qKmpAGK7mw
Bundesliga (NIE),Freiburg,https://drive.google.com/uc?export=view&id=1gjATn3tUMyXetdPtWi7R89ELxi6zhPF5
Bundesliga (NIE),Freiburg,https://drive.google.com/uc?export=view&id=1VpVtxSKjFtTx5yORMcYBZJ9XHMDdOYUm
Bundesliga (NIE),Freiburg,https://drive.google.com/uc?export=view&id=1fJ1mH5AdoSkvZ1ENUdauOjSf8jG0aLQq
Bundesliga (NIE),Freiburg,https://drive.google.com/uc?export=view&id=1rABlrM9d6ihO3xiuqqhnAbgi670b07wu
Bundesliga (NIE),Freiburg,https://drive.google.com/uc?export=view&id=1tIzhw0TC4KwCYwJochmFV19WiyKQL_2H
Bundesliga (NIE),Freiburg,https://drive.google.com/uc?export=view&id=1xqtxVeSYGPx0OKVmO8-swBPkBE0LFBV4
Bundesliga (NIE),Freiburg,https://drive.google.com/uc?export=view&id=1EVe7k5lahRYOR0JkjRV34xdrz-Ucrhn7
Bundesliga (NIE),Freiburg,https://drive.google.com/uc?export=view&id=1PNEUDTN3uyw2QR2CSX0mvP7tkOvTetM3
Bundesliga (NIE),Freiburg,https://drive.google.com/uc?export=view&id=1j2frzxeG4T8vAx8DQQhgV_EW1pSJcMCM
Bundesliga (NIE),Freiburg,https://drive.google.com/uc?export=view&id=1qc5ewl6wS1jplVKstIRVYP38Ia9BIE3H
