Liga,Klub,Link_Bezposredni
Scottish Premiership,Cardiff City,https://r2.thesportsdb.com/images/media/team/badge/xtytpt1448808285.png
Scottish Premiership,Plymouth Argyle,https://r2.thesportsdb.com/images/media/team/badge/wod5cj1689630278.png
Scottish Premiership,Luton Town,https://r2.thesportsdb.com/images/media/team/badge/v977eh1681319466.png
Scottish Premiership,Huddersfield Town,https://r2.thesportsdb.com/images/media/team/badge/y11fin1677527513.png
Scottish Premiership,Bradford City,https://r2.thesportsdb.com/images/media/team/badge/trwxxv1424033151.png
Scottish Premiership,Rotherham United,https://r2.thesportsdb.com/images/media/team/badge/sewy0z1752149213.png
Scottish Premiership,AFC Wimbledon,https://r2.thesportsdb.com/images/media/team/badge/md7iqx1684129667.png
Scottish Premiership,Stockport County,https://r2.thesportsdb.com/images/media/team/badge/jcsz9k1594450753.png
Scottish Premiership,Exeter City,https://r2.thesportsdb.com/images/media/team/badge/98wt4h1521144923.png
Scottish Premiership,Leyton Orient,https://r2.thesportsdb.com/images/media/team/badge/g4d9bi1688678797.png
Scottish Premiership,Northampton Town,https://r2.thesportsdb.com/images/media/team/badge/aa42641684131255.png
Scottish Premiership,Port Vale,https://www.thesportsdb.com/images/media/team/badge/s1ke3v1761710614.png
Scottish Premiership,Burton Albion,https://r2.thesportsdb.com/images/media/team/badge/uvpqpw1423804499.png
Scottish Premiership,Stevenage,https://r2.thesportsdb.com/images/media/team/badge/o4m2ci1596480474.png
Scottish Premiership,Mansfield Town,https://www.thesportsdb.com/images/media/team/badge/c1fpes1761709071.png
Scottish Premiership,Wycombe Wanderers,https://r2.thesportsdb.com/images/media/team/badge/avi3bu1688678934.png
Scottish Premiership,Lincoln City,https://r2.thesportsdb.com/images/media/team/badge/x46tji1719860130.png
USA Major League Soccer,Bolton Wanderers,https://r2.thesportsdb.com/images/media/team/badge/yvxxrv1448808301.png
USA Major League Soccer,Wigan Athletic,https://r2.thesportsdb.com/images/media/team/badge/wtxwyw1448759640.png
USA Major League Soccer,Blackpool,https://r2.thesportsdb.com/images/media/team/badge/utywru1448754934.png
